Vehicle ID,Lane,Frame,Timestamp
3,1,11,00:00:00
4,1,37,00:00:01
20,2,41,00:00:01
23,1,46,00:00:01
19,3,51,00:00:01
29,2,58,00:00:01
30,1,60,00:00:01
36,3,84,00:00:02
6,1,98,00:00:03
43,2,100,00:00:03
55,2,134,00:00:04
61,2,141,00:00:04
63,2,144,00:00:04
54,1,146,00:00:04
50,1,192,00:00:06
82,1,201,00:00:06
83,1,205,00:00:06
88,1,215,00:00:07
72,1,245,00:00:08
113,1,254,00:00:08
69,1,270,00:00:08
105,2,275,00:00:09
130,1,283,00:00:09
133,2,284,00:00:09
142,2,326,00:00:10
147,2,328,00:00:10
110,1,333,00:00:11
108,1,334,00:00:11
149,1,339,00:00:11
150,2,340,00:00:11
123,1,359,00:00:11
121,1,370,00:00:12
170,2,379,00:00:12
179,1,407,00:00:13
184,1,427,00:00:14
178,2,431,00:00:14
192,2,445,00:00:14
196,1,456,00:00:15
198,1,460,00:00:15
219,1,531,00:00:17
242,1,594,00:00:19
241,1,594,00:00:19
248,1,602,00:00:20
259,1,639,00:00:21
265,1,641,00:00:21
275,1,664,00:00:22
277,1,668,00:00:22
274,2,674,00:00:22
286,2,693,00:00:23
304,1,733,00:00:24
314,2,735,00:00:24
313,1,735,00:00:24
294,2,735,00:00:24
350,1,813,00:00:27
357,1,822,00:00:27
368,1,838,00:00:27
322,1,858,00:00:28
372,3,860,00:00:28
382,1,874,00:00:29
366,2,885,00:00:29
396,2,900,00:00:29
401,2,908,00:00:30
334,1,935,00:00:31
434,3,994,00:00:33
448,2,1012,00:00:33
355,1,1027,00:00:34
456,2,1033,00:00:34
461,3,1054,00:00:35
467,2,1056,00:00:35
475,1,1064,00:00:35
481,2,1071,00:00:35
480,2,1071,00:00:35
483,1,1078,00:00:35
488,1,1085,00:00:36
489,2,1090,00:00:36
493,1,1097,00:00:36
474,1,1099,00:00:36
495,1,1100,00:00:36
498,2,1107,00:00:36
499,1,1111,00:00:37
505,1,1122,00:00:37
508,2,1128,00:00:37
398,1,1130,00:00:37
511,1,1134,00:00:37
512,1,1135,00:00:37
385,2,1139,00:00:37
518,1,1146,00:00:38
522,1,1151,00:00:38
432,1,1187,00:00:39
536,1,1188,00:00:39
473,1,1194,00:00:39
538,3,1205,00:00:40
547,1,1216,00:00:40
546,1,1263,00:00:42
457,1,1277,00:00:42
580,1,1338,00:00:44
592,2,1361,00:00:45
565,1,1365,00:00:45
588,3,1373,00:00:45
603,1,1379,00:00:45
609,1,1387,00:00:46
616,2,1395,00:00:46
618,1,1397,00:00:46
622,1,1405,00:00:46
628,3,1418,00:00:47
614,1,1426,00:00:47
651,3,1445,00:00:48
656,3,1449,00:00:48
571,1,1454,00:00:48
661,1,1460,00:00:48
649,3,1463,00:00:48
676,1,1484,00:00:49
566,1,1484,00:00:49
680,1,1486,00:00:49
605,1,1534,00:00:51
703,3,1539,00:00:51
708,3,1544,00:00:51
726,1,1568,00:00:52
581,1,1570,00:00:52
720,3,1586,00:00:52
709,1,1597,00:00:53
747,1,1605,00:00:53
755,1,1620,00:00:53
759,1,1630,00:00:54
760,1,1632,00:00:54
763,1,1637,00:00:54
710,1,1658,00:00:55
767,1,1669,00:00:55
783,2,1674,00:00:55
786,2,1679,00:00:55
799,2,1693,00:00:56
802,2,1708,00:00:56
717,1,1708,00:00:56
809,2,1728,00:00:57
815,2,1737,00:00:57
817,2,1740,00:00:57
821,2,1745,00:00:58
741,1,1755,00:00:58
811,2,1760,00:00:58
829,1,1778,00:00:59
837,1,1788,00:00:59
851,1,1812,00:01:00
750,1,1815,00:01:00
864,2,1837,00:01:01
876,2,1850,00:01:01
875,1,1850,00:01:01
883,1,1858,00:01:01
880,2,1858,00:01:01
839,1,1907,00:01:03
894,2,1916,00:01:03
902,2,1921,00:01:04
910,1,1932,00:01:04
917,2,1940,00:01:04
895,2,1992,00:01:06
945,2,1994,00:01:06
881,1,2001,00:01:06
950,2,2007,00:01:06
927,1,2023,00:01:07
969,2,2048,00:01:08
984,2,2057,00:01:08
1001,1,2078,00:01:09
1006,1,2083,00:01:09
1018,2,2093,00:01:09
1017,2,2095,00:01:09
1021,2,2102,00:01:10
1030,1,2118,00:01:10
1031,1,2121,00:01:10
1034,1,2125,00:01:10
